siglaPartido,nome,grupo
PT,Jilmar Tatto,governo
PL,João Carlos Bacelar,oposicao
PT,João Daniel,governo
PP,João Leão,centrao_uniao
PP,João Maia,centrao_uniao
PL,Joaquim Passarinho,oposicao
PSB,Jonas Donizette,governo
REPUBLICANOS,Jorge Braz,centrao_mdb
PL,Jorge Goetten,oposicao
PT,Jorge Solla,governo
PT,José Airton Félix Cirilo,governo
PT,José Guimarães,governo
PL,José Medeiros,oposicao
PP,José Nelto,centrao_uniao
MDB,José Priante,centrao_mdb
UNIÃO,José Rocha,centrao_uniao
PT,Joseildo Ramos,governo
PDT,Josenildo,centrao_uniao
PT,Josias Gomes,governo
PL,Josimar Maranhãozinho,oposicao
PSD,Josivaldo JP,centrao_mdb
MDB,Juarez Costa,centrao_mdb
PL,Julia Zanatta,oposicao
PT,Juliana Cardoso,governo
PP,Julio Arcoverde,centrao_uniao
PSD,Júlio Cesar,centrao_mdb
REPUBLICANOS,Julio Cesar Ribeiro,centrao_mdb
PP,Julio Lopes,centrao_uniao
UNIÃO,Juninho do Pneu,centrao_uniao
PL,Junio Amaral,oposicao
PSD,Júnior Ferrari,centrao_mdb
PL,Junior Lourenço,oposicao
PL,Júnior Mano,oposicao
MDB,Keniston Braga,centrao_mdb
PT,Kiko Celeguim,governo
UNIÃO,Kim Kataguiri,centrao_uniao
REPUBLICANOS,Lafayette de Andrada,centrao_mdb
PSD,Laura Carneiro,centrao_mdb
PP,Lázaro Botelho,centrao_uniao
UNIÃO,Lebrão,centrao_uniao
PSDB,Lêda Borges,centrao_uniao
PDT,Leo Prates,centrao_uniao
PT,Leonardo Monteiro,governo
PDT,Leônidas Cristino,centrao_uniao
UNIÃO,Leur Lomanto Júnior,centrao_uniao
PSB,Lídice da Mata,governo
PL,Lincoln Portela,oposicao
PT,Lindbergh Farias,governo
SOLIDARIEDADE,Loreny,centrao_uniao
PSB,Lucas Ramos,governo
PSDB,Lucas Redecker,centrao_uniao
PSD,Luciano Alves,centrao_mdb
PV,Luciano Amaral,governo
PSD,Luciano Azevedo,centrao_mdb
UNIÃO,Luciano Bivar,centrao_uniao
PSB,Luciano Ducci,governo
REPUBLICANOS,Luciano Vieira,centrao_mdb
MDB,Lucio Mosquini,centrao_mdb
REPUBLICANOS,Luis Carlos Gomes,centrao_mdb
AVANTE,Luis Tibé,centrao_uniao
PSD,Luisa Canziani,centrao_mdb
UNIÃO,Luiz Carlos Busato,centrao_uniao
PODE,Luiz Carlos Hauly,centrao_mdb
PL,Luiz Carlos Motta,oposicao
PT,Luiz Couto,governo
PSD,Luiz Fernando Faria,centrao_mdb
PSD,Luiz Gastão,centrao_mdb
PL,Luiz Lima,oposicao
PSD,Luiz Nishimori,centrao_mdb
PL,Luiz Philippe de Orleans e Bragança,oposicao
PSOL,Luiza Erundina,governo
PT,Luizianne Lins,governo
PP,Lula da Fonte,centrao_uniao
PRD,Magda Mofatto,centrao_uniao
UNIÃO,Marangoni,centrao_uniao
NOVO,Marcel van Hattem,outros
PL,Marcelo Álvaro Antônio,oposicao
PSD,Marcelo Calero,centrao_mdb
REPUBLICANOS,Marcelo Crivella,centrao_mdb
PL,Marcelo Moraes,oposicao
PP,Marcelo Queiroz,centrao_uniao
PL,Marcio Alvino,oposicao
MDB,Márcio Biolchi,centrao_mdb
PDT,Márcio Honaiser,centrao_uniao
PCdoB,Márcio Jerry,outros
REPUBLICANOS,Márcio Marinho,centrao_mdb
PP,Marco Brasil,centrao_uniao
PT,Marcon,governo
PSD,Marcos Aurélio Sampaio,centrao_mdb
REPUBLICANOS,Marcos Pereira,centrao_mdb
PL,Marcos Pollon,oposicao
UNIÃO,Marcos Soares,centrao_uniao
PDT,Marcos Tavares,centrao_uniao
SOLIDARIEDADE,Maria Arraes,centrao_uniao
PT,Maria do Rosário,governo
REPUBLICANOS,Maria Rosas,centrao_mdb
PL,Mario Frias,oposicao
PP,Mário Negromonte Jr.,centrao_uniao
PRD,Marreca Filho,centrao_uniao
MDB,Marussa Boldrin,centrao_mdb
PP,Marx Beltrão,centrao_uniao
PL,Matheus Noronha,oposicao
UNIÃO,Maurício Carvalho,centrao_uniao
PL,Mauricio do Vôlei,oposicao
PODE,Mauricio Marcon,centrao_mdb
PP,Mauricio Neves,centrao_uniao
PDT,Mauro Benevides Filho,centrao_uniao
PDT,Max Lemos,centrao_uniao
UNIÃO,Meire Serafim,centrao_uniao
UNIÃO,Mendonça Filho,centrao_uniao
PT,Merlong Solano,governo
PP,Mersinho Lucena,centrao_uniao
REPUBLICANOS,Messias Donato,centrao_mdb
PT,Miguel Ângelo,governo
PL,Miguel Lombardi,oposicao
PSD,Misael Varella,centrao_mdb
UNIÃO,Moses Rodrigues,centrao_uniao
UNIÃO,Murillo Gouvea,centrao_uniao
REPUBLICANOS,Murilo Galdino,centrao_mdb
PT,Natália Bonavides,governo
PODE,Nely Aquino,centrao_mdb
PP,Neto Carletto,centrao_uniao
UNIÃO,Nicoletti,centrao_uniao
PL,Nikolas Ferreira,oposicao
PT,Nilto Tatto,governo
PSD,Nitinho,centrao_mdb
PT,Odair Cunha,governo
MDB,Olival Marques,centrao_mdb
PCdoB,Orlando Silva,outros
MDB,Osmar Terra,centrao_mdb
REPUBLICANOS,Ossesio Silva,centrao_mdb
MDB,Otoni de Paula,centrao_mdb
PSD,Otto Alencar Filho,centrao_mdb
UNIÃO,Padovani,centrao_uniao
PT,Padre João,governo
UNIÃO,Pastor Diniz,centrao_uniao
PL,Pastor Eurico,oposicao
PL,Pastor Gil,oposicao
PSOL,Pastor Henrique Vieira,governo
AVANTE,Pastor Sargento Isidório,centrao_uniao
PT,Patrus Ananias,governo
UNIÃO,Pauderney Avelino,centrao_uniao
PT,Paulão,governo
UNIÃO,Paulinho Freire,centrao_uniao
PSDB,Paulo Abi-Ackel,centrao_uniao
PSDB,Paulo Alexandre Barbosa,centrao_uniao
UNIÃO,Paulo Azi,centrao_uniao
PSB,Paulo Folletto,governo
PL,Paulo Freire Costa,oposicao
PT,Paulo Guedes,governo
PSD,Paulo Litro,centrao_mdb
PSD,Paulo Magalhães,centrao_mdb
PRD,Pedro Aihara,centrao_uniao
PSB,Pedro Campos,governo
UNIÃO,Pedro Lucas Fernandes,centrao_uniao
PP,Pedro Lupion,centrao_uniao
PSD,Pedro Paulo,centrao_mdb
PT,Pedro Uczai,governo
PP,Pedro Westphalen,centrao_uniao
MDB,Pezenti,centrao_mdb
PP,Pinheirinho,centrao_uniao
PDT,Pompeo de Mattos,centrao_uniao
PL,Pr. Marco Feliciano,oposicao
PV,Prof. Reginaldo Veras,governo
PL,Professor Alcides,oposicao
PDT,Professora Goreth,centrao_uniao
PSOL,Professora Luciene Cavalcante,governo
MDB,Rafael Brito,centrao_mdb
MDB,Rafael Prudente,centrao_mdb
UNIÃO,Rafael Simoes,centrao_uniao
PODE,Raimundo Costa,centrao_mdb
PSD,Raimundo Santos,centrao_mdb
REPUBLICANOS,Raniery Paulino,centrao_mdb
PT,Reginaldo Lopes,governo
PT,Reginete Bispo,governo
PT,Reimont,governo
PSD,Reinhold Stephanes,centrao_mdb
PODE,Renata Abreu,centrao_mdb
MDB,Renilce Nicodemos,centrao_mdb
PCdoB,Renildo Calheiros,outros
REPUBLICANOS,Ricardo Ayres,centrao_mdb
MDB,Ricardo Maia,centrao_mdb
PL,Ricardo Salles,oposicao
PSD,Ricardo Silva,centrao_mdb
PL,Roberta Roma,oposicao
REPUBLICANOS,Roberto Duarte,centrao_mdb
PL,Roberto Monteiro Pai,oposicao
PL,Robinson Faria,oposicao
PL,Rodolfo Nogueira,oposicao
UNIÃO,Rodrigo de Castro,centrao_uniao
PSD,Rodrigo Estacho,centrao_mdb
PODE,Rodrigo Gambale,centrao_mdb
UNIÃO,Rodrigo Valadares,centrao_uniao
REPUBLICANOS,Rogéria Santos,centrao_mdb
PT,Rogério Correia,governo
PODE,Romero Rodrigues,centrao_mdb
REPUBLICANOS,Ronaldo Nogueira,centrao_mdb
PL,Rosana Valle,oposicao
UNIÃO,Rosangela Moro,centrao_uniao
PL,Rosângela Reis,oposicao
MDB,Roseana Sarney,centrao_mdb
PT,Rubens Otoni,governo
PT,Rubens Pereira Júnior,governo
PT,Rui Falcão,governo
PODE,Ruy Carneiro,centrao_mdb
PSOL,Sâmia Bomfim,governo
REPUBLICANOS,Samuel Viana,centrao_mdb
PL,Sanderson,oposicao
PSD,Sargento Fahur,centrao_mdb
PL,Sargento Gonçalves,oposicao
PODE,Sargento Portugal,centrao_mdb
UNIÃO,Saullo Vianna,centrao_uniao
PSD,Saulo Pedroso,centrao_mdb
MDB,Sergio Souza,centrao_mdb
PSD,Sidney Leite,centrao_mdb
REPUBLICANOS,Silas Câmara,centrao_mdb
PL,Silvia Cristina,oposicao
PL,Silvia Waiãpi,oposicao
UNIÃO,Silvye Alves,centrao_uniao
MDB,Simone Marquetto,centrao_mdb
PP,Socorro Neri,centrao_uniao
PL,Sonize Barbosa,oposicao
PL,Soraya Santos,oposicao
PL,Sóstenes Cavalcante,oposicao
PSD,Stefano Aguiar,centrao_mdb
PSB,Tabata Amaral,governo
PT,Tadeu Veneri,governo
PSOL,Talíria Petrone,governo
PSOL,Tarcísio Motta,governo
PP,Thiago de Joaldo,centrao_uniao
REPUBLICANOS,Thiago Flores,centrao_mdb
PP,Tião Medeiros,centrao_uniao
PL,Tiririca,oposicao
PP,Toninho Wandscheer,centrao_uniao
REDE,Túlio Gadêlha,governo
MDB,Ulisses Guimarães,centrao_mdb
PT,Valmir Assunção,governo
PT,Vander Loubet,governo
PL,Vermelho,oposicao
PT,Vicentinho,governo
PP,Vicentinho Júnior,centrao_uniao
REPUBLICANOS,Vinicius Carvalho,centrao_mdb
PL,Vinicius Gurgel,oposicao
PSDB,Vitor Lippi,centrao_uniao
AVANTE,Waldemar Oliveira,centrao_uniao
PT,Waldenor Pereira,governo
PT,Washington Quaquá,governo
SOLIDARIEDADE,Weliton Prado,centrao_uniao
PL,Wellington Roberto,oposicao
PT,Welter,governo
UNIÃO,Yandra Moura,centrao_uniao
MDB,Yury do Paredão,centrao_mdb
PSD,Zé Haroldo Cathedral,centrao_mdb
PT,Zé Neto,governo
SOLIDARIEDADE,Zé Silva,centrao_uniao
PL,Zé Trovão,oposicao
PL,Zé Vitor,oposicao
PT,Zeca Dirceu,governo
PP,Zezinho Barbary,centrao_uniao
PL,Zucco,oposicao
