"id";"uri";"data";"dataHoraRegistro";"idOrgao";"uriOrgao";"siglaOrgao";"idEvento";"uriEvento";"aprovacao";"votosSim";"votosNao";"votosOutros";"descricao";"ultimaAberturaVotacao_dataHoraRegistro";"ultimaAberturaVotacao_descricao";"ultimaApresentacaoProposicao_dataHoraRegistro";"ultimaApresentacaoProposicao_descricao";"ultimaApresentacaoProposicao_idProposicao";"ultimaApresentacaoProposicao_uriProposicao"
"2382349-51";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2382349-51";"2024-02-06";"2024-02-06T19:08:58";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"71828";"https://dadosabertos.camara.leg.br/api/v2/eventos/71828";"1";"0";"0";"0";"Aprovada a Redação Final, assinada pela Relatora, Dep. Laura Carneiro (PSD-RJ).";"2024-02-06T19:08:22";"Votação da Redação Final.";"";"Apresentação do PDL n. 278/2023 (Projeto de Decreto Legislativo de Acordos, tratados ou atos internacionais), pela Comissão de Relações Exteriores e de Defesa Nacional, que: ""Aprova o texto da Convenção sobre a Organização Internacional de Auxílios Marítimos à Navegação, adotada em 27 de janeiro de 2021.

NOVA EMENTA: Aprova o texto da Convenção sobre a Organização Internacional de Auxílios Marítimos à Navegação, assinada em Paris, em 27 de janeiro de 2021"".";"0";""
"2356295-5";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2356295-5";"2024-02-20";"2024-02-20T18:25:46";"6855";"https://dadosabertos.camara.leg.br/api/v2/orgaos/6855";"CMO";"71835";"https://dadosabertos.camara.leg.br/api/v2/eventos/71835";"1";"0";"0";"0";"Em deliberação, a matéria foi ARQUIVADA.";"";"";"";"";"0";""
"2356248-5";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2356248-5";"2024-02-20";"2024-02-20T18:26:31";"6855";"https://dadosabertos.camara.leg.br/api/v2/orgaos/6855";"CMO";"71835";"https://dadosabertos.camara.leg.br/api/v2/eventos/71835";"1";"0";"0";"0";"Em deliberação, a matéria foi ARQUIVADA.";"";"";"";"";"0";""
"2369203-5";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2369203-5";"2024-02-20";"2024-02-20T18:26:59";"6855";"https://dadosabertos.camara.leg.br/api/v2/orgaos/6855";"CMO";"71835";"https://dadosabertos.camara.leg.br/api/v2/eventos/71835";"1";"0";"0";"0";"Em deliberação, a matéria foi ARQUIVADA.";"";"";"";"";"0";""
"2388837-16";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2388837-16";"2024-02-20";"2024-02-20T14:54:08";"6855";"https://dadosabertos.camara.leg.br/api/v2/orgaos/6855";"CMO";"71835";"https://dadosabertos.camara.leg.br/api/v2/eventos/71835";"1";"0";"0";"0";"Aprovado.";"";"";"2024-02-16T11:51:42";"Voto: pela aprovação da Medida Provisória, na forma proposta pelo Poder Executivo. Quanto à emenda apresentada o relator indicou pela INADMISSÃO.";"2417951";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417951"
"623793-93";"https://dadosabertos.camara.leg.br/api/v2/votacoes/623793-93";"2024-02-20";"2024-02-20T20:21:09";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"71846";"https://dadosabertos.camara.leg.br/api/v2/eventos/71846";"1";"0";"0";"0";"Aprovado o Projeto de Lei nº 8.035, de 2014.";"2024-02-20T20:11:24";"Votação em turno único.";"2018-08-03T17:05:21";"Apresentação do Requerimento de Redistribuição n. 9079/2018, pelo Deputado Jean Wyllys (PSOL-RJ), que: ""Requer a revisão do despacho aposto ao Projeto de Lei nº 8.035, de 2014, com consequente redistribuição"".";"2182157";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2182157"
"623793-95";"https://dadosabertos.camara.leg.br/api/v2/votacoes/623793-95";"2024-02-20";"2024-02-20T20:23:00";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"71846";"https://dadosabertos.camara.leg.br/api/v2/eventos/71846";"1";"0";"0";"0";"Aprovada a Redação Final assinada pela relatora Dep. Laura Carneiro (PSD-RJ).";"2024-02-20T20:21:45";"Votação da Redação Final.";"2018-08-03T17:05:21";"Apresentação do Requerimento de Redistribuição n. 9079/2018, pelo Deputado Jean Wyllys (PSOL-RJ), que: ""Requer a revisão do despacho aposto ao Projeto de Lei nº 8.035, de 2014, com consequente redistribuição"".";"2182157";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2182157"
"380852-116";"https://dadosabertos.camara.leg.br/api/v2/votacoes/380852-116";"2024-02-20";"2024-02-20T20:30:11";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"71846";"https://dadosabertos.camara.leg.br/api/v2/eventos/71846";"1";"0";"0";"0";"Aprovado o Substitutivo ao Projeto de Lei nº 2.613, de 2007, adotado pela relatora da Comissão de Defesa dos Direitos da Pessoa Idosa.";"2024-02-20T20:24:14";"Votação em turno único.";"2024-02-20T20:39:26";"Parecer proferido em Plenário pela Relatora, Dep. Nely Aquino (PODE-MG), pela Comissão de Constituição e Justiça e de Cidadania, que conclui pela constitucionalidade, juridicidade e técnica legislativa do Projeto de Lei nº 2.613, de 2007, dos seus apensados e do Substitutivo adotado pela relatora da Comissão de Defesa dos Direitos da Pessoa Idosa.";"2418280";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2418280"
"380852-119";"https://dadosabertos.camara.leg.br/api/v2/votacoes/380852-119";"2024-02-20";"2024-02-20T20:33:22";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"71846";"https://dadosabertos.camara.leg.br/api/v2/eventos/71846";"1";"0";"0";"0";"Aprovada a Redação Final assinada pela relatora, Dep. Nely Aquino (PODE-MG).";"2024-02-20T20:32:09";"Votação da Redação Final.";"2024-02-20T20:39:26";"Parecer proferido em Plenário pela Relatora, Dep. Nely Aquino (PODE-MG), pela Comissão de Constituição e Justiça e de Cidadania, que conclui pela constitucionalidade, juridicidade e técnica legislativa do Projeto de Lei nº 2.613, de 2007, dos seus apensados e do Substitutivo adotado pela relatora da Comissão de Defesa dos Direitos da Pessoa Idosa.";"2418280";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2418280"
"582036-80";"https://dadosabertos.camara.leg.br/api/v2/votacoes/582036-80";"2024-02-20";"2024-02-20T20:41:36";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"71846";"https://dadosabertos.camara.leg.br/api/v2/eventos/71846";"1";"0";"0";"0";"Aprovada a Subemenda Substitutiva Global ao Substitutivo da Comissão de Trabalho, de Administração e Serviço Público ao Projeto de Lei nº 5.827, de 2013, da Comissão de Constituição e Justiça e de Cidadania.";"2024-02-20T20:34:06";"Votação em turno único.";"2023-06-14T19:20:14";"Apresentação do REQ n. 1954/2023 (Requerimento), pelo Deputado Fausto Pinato (PP/SP), que ""Requer, nos termos regimentais, inclusão na ordem do Dia o Projeto de Lei nº 5827/2013, que “dispõe sobre as custas devidas à União, na Justiça Federal de primeiro e segundo graus, e dá outras providências”"".";"2369326";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2369326"
"582036-84";"https://dadosabertos.camara.leg.br/api/v2/votacoes/582036-84";"2024-02-20";"2024-02-20T20:46:39";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"71846";"https://dadosabertos.camara.leg.br/api/v2/eventos/71846";"";"0";"0";"0";"Mantido o texto.";"2024-02-20T20:43:59";"Votação do DTQ 1: Bloco Fdr PT-PCdoB-PV (PT): Destaque para Votação em Separado do(a) Art. 20 da Subemenda, apresentado ao PL 5827/2013 (art. 161, I)";"2023-06-14T19:20:14";"Apresentação do REQ n. 1954/2023 (Requerimento), pelo Deputado Fausto Pinato (PP/SP), que ""Requer, nos termos regimentais, inclusão na ordem do Dia o Projeto de Lei nº 5827/2013, que “dispõe sobre as custas devidas à União, na Justiça Federal de primeiro e segundo graus, e dá outras providências”"".";"2369326";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2369326"
"582036-86";"https://dadosabertos.camara.leg.br/api/v2/votacoes/582036-86";"2024-02-20";"2024-02-20T20:47:35";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"71846";"https://dadosabertos.camara.leg.br/api/v2/eventos/71846";"1";"0";"0";"0";"Aprovada a Redação Final assinada pelo relator Dep. Luiz Fernando Faria (PSD-MG).";"2024-02-20T20:46:57";"Votação da Redação Final.";"2023-06-14T19:20:14";"Apresentação do REQ n. 1954/2023 (Requerimento), pelo Deputado Fausto Pinato (PP/SP), que ""Requer, nos termos regimentais, inclusão na ordem do Dia o Projeto de Lei nº 5827/2013, que “dispõe sobre as custas devidas à União, na Justiça Federal de primeiro e segundo graus, e dá outras providências”"".";"2369326";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2369326"
"2367548-7";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2367548-7";"2024-02-20";"2024-02-20T21:12:58";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"71846";"https://dadosabertos.camara.leg.br/api/v2/eventos/71846";"1";"442";"2";"1";"Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 442; não: 2; total: 444.";"";"";"";"";"0";""
"568237-85";"https://dadosabertos.camara.leg.br/api/v2/votacoes/568237-85";"2024-02-20";"2024-02-20T21:13:00";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"0";"";"1";"0";"0";"0";"Aprovado requerimento n. 1884/2023 do Sr. Fábio Macedo e outros que requer urgência para o PL 10106/2018, do Senado Federal, que “altera a Lei nº 8.080, de 19 de setembro de 1990, para dispor sobre a obrigatoriedade de publicação na internet de listas de pacientes que serão submetidos a procedimentos cirúrgicos eletivos no âmbito do Sistema Único de Saúde (SUS), e a Lei nº 8.429, de 2 de junho de 1992 (Lei de Improbidade Administrativa), para caracterizar o descumprimento dessa disposição como ato de improbidade administrativa”.";"";"";"2015-09-09T16:29:12";"Apresentação do Requerimento de Desapensação n. 2979/2015, pelo Deputado Adail Carneiro (PHS-CE), que: ""Requer a desapensação do Projeto de Lei n° 2.476, de 2015, ao Projeto de Lei n° 5.170, de 2013"".";"1713445";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/1713445"
"569905-35";"https://dadosabertos.camara.leg.br/api/v2/votacoes/569905-35";"2024-02-20";"2024-02-20T21:13:00";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"0";"";"1";"0";"0";"0";"Aprovado requerimento n. 1884/2023 do Sr. Fábio Macedo e outros que requer urgência para o PL 10106/2018, do Senado Federal, que “altera a Lei nº 8.080, de 19 de setembro de 1990, para dispor sobre a obrigatoriedade de publicação na internet de listas de pacientes que serão submetidos a procedimentos cirúrgicos eletivos no âmbito do Sistema Único de Saúde (SUS), e a Lei nº 8.429, de 2 de junho de 1992 (Lei de Improbidade Administrativa), para caracterizar o descumprimento dessa disposição como ato de improbidade administrativa”.";"";"";"2013-04-02T16:37:01";"Apresentação do Projeto de Lei n. 5274/2013, pelo Deputado Davi Alves Silva Júnior (PR-MA), que: ""Estabelece a obrigatoriedade de as instâncias gestoras do Sistema Único de Saúde, em todas as esferas de governo, divulgarem informações que especifica, relativas à assistência à saúde aos usuários do Sistema Único de Saúde"".";"0";""
"570429-29";"https://dadosabertos.camara.leg.br/api/v2/votacoes/570429-29";"2024-02-20";"2024-02-20T21:13:00";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"0";"";"1";"0";"0";"0";"Aprovado requerimento n. 1884/2023 do Sr. Fábio Macedo e outros que requer urgência para o PL 10106/2018, do Senado Federal, que “altera a Lei nº 8.080, de 19 de setembro de 1990, para dispor sobre a obrigatoriedade de publicação na internet de listas de pacientes que serão submetidos a procedimentos cirúrgicos eletivos no âmbito do Sistema Único de Saúde (SUS), e a Lei nº 8.429, de 2 de junho de 1992 (Lei de Improbidade Administrativa), para caracterizar o descumprimento dessa disposição como ato de improbidade administrativa”.";"";"";"2013-04-04T09:30:13";"Apresentação do Projeto de Lei n. 5316/2013, pelo Deputado Major Fábio (DEM-PB), que: ""Obriga os estabelecimentos de saúde integrantes do Sistema Único de Saúde a estampar em painéis a lista dos medicamentos disponíveis"".";"0";""
"2088410-24";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2088410-24";"2024-02-20";"2024-02-20T21:13:00";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"0";"";"1";"0";"0";"0";"Aprovado requerimento n. 1884/2023 do Sr. Fábio Macedo e outros que requer urgência para o PL 10106/2018, do Senado Federal, que “altera a Lei nº 8.080, de 19 de setembro de 1990, para dispor sobre a obrigatoriedade de publicação na internet de listas de pacientes que serão submetidos a procedimentos cirúrgicos eletivos no âmbito do Sistema Único de Saúde (SUS), e a Lei nº 8.429, de 2 de junho de 1992 (Lei de Improbidade Administrativa), para caracterizar o descumprimento dessa disposição como ato de improbidade administrativa”.";"";"";"2016-06-15T22:15:24";"Apresentação do Projeto de Lei n. 5610/2016, pelo Deputado Rômulo Gouveia (PSD-PB), que: ""Acrescenta parágrafo único ao art. 47 da Lei nº 8.080, de 19, de setembro de 1990, para obrigar a divulgação periódica dos medicamentos em estoque nas farmácias públicas do SUS"".";"0";""
"2208718-18";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2208718-18";"2024-02-20";"2024-02-20T21:13:00";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"0";"";"1";"0";"0";"0";"Aprovado requerimento n. 1884/2023 do Sr. Fábio Macedo e outros que requer urgência para o PL 10106/2018, do Senado Federal, que “altera a Lei nº 8.080, de 19 de setembro de 1990, para dispor sobre a obrigatoriedade de publicação na internet de listas de pacientes que serão submetidos a procedimentos cirúrgicos eletivos no âmbito do Sistema Único de Saúde (SUS), e a Lei nº 8.429, de 2 de junho de 1992 (Lei de Improbidade Administrativa), para caracterizar o descumprimento dessa disposição como ato de improbidade administrativa”.";"";"";"";"";"0";""
"2175537-22";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2175537-22";"2024-02-20";"2024-02-20T21:13:00";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"0";"";"1";"0";"0";"0";"Aprovado requerimento n. 1884/2023 do Sr. Fábio Macedo e outros que requer urgência para o PL 10106/2018, do Senado Federal, que “altera a Lei nº 8.080, de 19 de setembro de 1990, para dispor sobre a obrigatoriedade de publicação na internet de listas de pacientes que serão submetidos a procedimentos cirúrgicos eletivos no âmbito do Sistema Único de Saúde (SUS), e a Lei nº 8.429, de 2 de junho de 1992 (Lei de Improbidade Administrativa), para caracterizar o descumprimento dessa disposição como ato de improbidade administrativa”.";"";"";"2018-11-21T16:25:02";"Apresentação do Requerimento de Desapensação n. 9275/2018, pelo Deputado Damião Feliciano (PDT-PB), que: ""Requer a desapensação do Projeto de Lei n° 10.259, de 2018 ao Projeto de Lei n° 10.106, de 2018"".";"2187011";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2187011"
"2318074-17";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2318074-17";"2024-02-20";"2024-02-20T21:13:00";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"0";"";"1";"0";"0";"0";"Aprovado requerimento n. 1884/2023 do Sr. Fábio Macedo e outros que requer urgência para o PL 10106/2018, do Senado Federal, que “altera a Lei nº 8.080, de 19 de setembro de 1990, para dispor sobre a obrigatoriedade de publicação na internet de listas de pacientes que serão submetidos a procedimentos cirúrgicos eletivos no âmbito do Sistema Único de Saúde (SUS), e a Lei nº 8.429, de 2 de junho de 1992 (Lei de Improbidade Administrativa), para caracterizar o descumprimento dessa disposição como ato de improbidade administrativa”.";"";"";"";"";"0";""
"601875-38";"https://dadosabertos.camara.leg.br/api/v2/votacoes/601875-38";"2024-02-20";"2024-02-20T21:13:00";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"0";"";"1";"0";"0";"0";"Aprovado requerimento n. 1884/2023 do Sr. Fábio Macedo e outros que requer urgência para o PL 10106/2018, do Senado Federal, que “altera a Lei nº 8.080, de 19 de setembro de 1990, para dispor sobre a obrigatoriedade de publicação na internet de listas de pacientes que serão submetidos a procedimentos cirúrgicos eletivos no âmbito do Sistema Único de Saúde (SUS), e a Lei nº 8.429, de 2 de junho de 1992 (Lei de Improbidade Administrativa), para caracterizar o descumprimento dessa disposição como ato de improbidade administrativa”.";"";"";"2013-11-21T15:07:51";"Apresentação do Projeto de Lei n. 6804/2013, pelo Deputado Reguffe (PDT-DF), que: ""Dispõe sobre a obrigatoriedade de publicação, em sítio eletrônico oficial, da lista de espera dos pacientes a serem submetidos a cirurgias médicas nos estabelecimentos e unidades da rede pública de saúde do Sistema Único de Saúde - SUS, através do número de seus Registros Gerais - RGs, e dá outras providências"".";"0";""
"1006391-32";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1006391-32";"2024-02-20";"2024-02-20T21:13:00";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"0";"";"1";"0";"0";"0";"Aprovado requerimento n. 1884/2023 do Sr. Fábio Macedo e outros que requer urgência para o PL 10106/2018, do Senado Federal, que “altera a Lei nº 8.080, de 19 de setembro de 1990, para dispor sobre a obrigatoriedade de publicação na internet de listas de pacientes que serão submetidos a procedimentos cirúrgicos eletivos no âmbito do Sistema Único de Saúde (SUS), e a Lei nº 8.429, de 2 de junho de 1992 (Lei de Improbidade Administrativa), para caracterizar o descumprimento dessa disposição como ato de improbidade administrativa”.";"";"";"2015-03-13T16:41:46";"Apresentação do Projeto de Lei n. 742/2015, pela Deputada Conceição Sampaio (PP-AM), que: ""Dispõe sobre a obrigatoriedade de divulgação, em sítio eletrônico oficial de acesso irrestrito, das listagens dos pacientes que aguardam consultas com especialistas, exames e intervenções cirúrgicas em instituições de qualquer natureza que integram o Sistema Único de Saúde"".";"0";""
"2187044-18";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2187044-18";"2024-02-20";"2024-02-20T21:13:00";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"0";"";"1";"0";"0";"0";"Aprovado requerimento n. 1884/2023 do Sr. Fábio Macedo e outros que requer urgência para o PL 10106/2018, do Senado Federal, que “altera a Lei nº 8.080, de 19 de setembro de 1990, para dispor sobre a obrigatoriedade de publicação na internet de listas de pacientes que serão submetidos a procedimentos cirúrgicos eletivos no âmbito do Sistema Único de Saúde (SUS), e a Lei nº 8.429, de 2 de junho de 1992 (Lei de Improbidade Administrativa), para caracterizar o descumprimento dessa disposição como ato de improbidade administrativa”.";"";"";"2018-11-21T16:10:51";"Apresentação do Projeto de Lei n. 11018/2018, pelo Deputado Carlos Henrique Gaguim (DEM-TO), que: ""Dispõe sobre a obrigatoriedade de divulgação das listas dos pacientes que aguardam consultas com especialistas, exames e intervenções cirúrgicas em instituições de qualquer natureza que fazem parte do Sistema Único de Saúde (SUS), em sítio eletrônico oficial de acesso irrestrito"".";"0";""
"2237833-17";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2237833-17";"2024-02-20";"2024-02-20T21:13:00";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"0";"";"1";"0";"0";"0";"Aprovado requerimento n. 1884/2023 do Sr. Fábio Macedo e outros que requer urgência para o PL 10106/2018, do Senado Federal, que “altera a Lei nº 8.080, de 19 de setembro de 1990, para dispor sobre a obrigatoriedade de publicação na internet de listas de pacientes que serão submetidos a procedimentos cirúrgicos eletivos no âmbito do Sistema Único de Saúde (SUS), e a Lei nº 8.429, de 2 de junho de 1992 (Lei de Improbidade Administrativa), para caracterizar o descumprimento dessa disposição como ato de improbidade administrativa”.";"";"";"";"";"0";""
"2294476-17";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2294476-17";"2024-02-20";"2024-02-20T21:13:00";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"0";"";"1";"0";"0";"0";"Aprovado requerimento n. 1884/2023 do Sr. Fábio Macedo e outros que requer urgência para o PL 10106/2018, do Senado Federal, que “altera a Lei nº 8.080, de 19 de setembro de 1990, para dispor sobre a obrigatoriedade de publicação na internet de listas de pacientes que serão submetidos a procedimentos cirúrgicos eletivos no âmbito do Sistema Único de Saúde (SUS), e a Lei nº 8.429, de 2 de junho de 1992 (Lei de Improbidade Administrativa), para caracterizar o descumprimento dessa disposição como ato de improbidade administrativa”.";"";"";"";"";"0";""
